long,lat,storeName
-73.8277053,40.6944628,Lenihan'S Saloon
-73.8682701,40.745683,Emilio Iii Bar
-74.0086833,40.7052024,Killarney Rose
-73.8216767,40.6689548,Don Peppe
-73.9250442,40.5595462,Blarney Castle
-73.955074,40.599217,Three Star Restaurant
-73.98926,40.7509054,Blarney Rock
-73.983061,40.7441419,Desmond'S Tavern
-73.8204154,40.7242443,Naomi Kosher Pizza
-73.9396213,40.5841703,Roll-N-Roaster
-74.0016583,40.7319679,Tio Pepe
-73.9420751,40.6002442,Brennan & Carr
-73.9002615,40.885186,The Punch Bowl
-73.8700163,40.7504734,Jardin De China Rest
-73.8236419,40.7261682,Irish Cottage
-74.0137007,40.7062029,Blarney Stone
-73.8221418,40.7272376,Shimons Kosher Pizza
-74.0027865,40.7340505,The Riviera Cafe
-73.9927131,40.6984887,Fascati'S Pizzeria
-73.975981,40.745132,Baby Bo'S Burritos
-73.9690789,40.7594184,Shun Lee Palace Restaurant
-74.112238,40.629819,Li Greci'S Staaten Restaurant
-73.9300062,40.5943553,Tamaqua
-73.9168424,40.8401362,Munchtime
-73.7429218,40.7305714,Cara Mia
-73.8194559,40.8899176,Ihop
-73.809167,40.705421,Maloney'S Bar
-74.104656,40.58834,Richmond County Country Club
-73.8845166,40.744772,La Fusta Restaurant
-73.9827418,40.7655827,Patsy'S Italian Restaurant
-73.8513114,40.8316981,Lulu'S Coffee Shop
-73.960573,40.760982,Dangerfield'S Night Club
-74.000658,40.735114,El Charro Espanol
-73.9556394,40.768679,Finnegan'S Wake
-73.9907801,40.6188665,Da Vinci Pizza
-73.9681178,40.678776,Mitchell'S Restaurant
-73.979839,40.739796,Mexico Lindo Restaurant
-73.815175,40.8137649,Marina Delray
-73.996823,40.753182,Twins Pub
-73.9270926,40.6142428,New Floridian Diner
-74.03345,40.612598,Narrows Coffee Shop
-74.0029643,40.7231081,Broome Street Bar
-73.9121201,40.7749286,O'Hanlon'S Pub
-73.9036487,40.7413334,Charlies Sports Bar
-73.9593019,40.771054,Jg Melon Restaurant
-73.7775242,40.778475,Jack'S Pizza & Pasta
-74.0084936,40.7258072,Emerald Pub
-73.9788694,40.7665961,Tap Room
-73.9788694,40.7665961,Cocktail Room (Nyac)
-73.9855792,40.7686093,Flame Restaurant Coffee House
-73.9629729,40.7638694,Jackson Hole
-73.8811834,40.7017759,Zum Stammtisch
-73.985535,40.730605,John'S Restaurant
-73.988991,40.728848,Grassroot Tavern
-74.1350211,40.6369042,Buddy'S Wonder Bar
-73.876876,40.703885,The Assembly Bar
-73.9870818,40.7523004,Mr Broadway Kosher Restaurant
-73.911784,40.764766,Piccola Venezia
-74.1003379,40.5655379,Ni-Ni'S Cafe
-73.9215284,40.8678204,Capitol Restaurant
-73.9550129,40.768019,Malaga Restaurant
-73.977035,40.762307,La Bonne Soupe Bistro
-73.9672945,40.7561212,Mimis Restaurant & Bar
-73.83857,40.655669,Lenny'S Clam Bar
-73.9542568,40.7641379,Griffis Faculty Club
-73.8262971,40.700598,Little Brown Jug
-73.8305269,40.7089494,Dani Pizza And Restaurant
-73.9818553,40.7782266,Gray'S Papaya
-73.9580255,40.6487475,Mcdonald'S
-73.9500605,40.5838274,El Greco Diner
-74.002593,40.7324849,One If By Land Two If By Sea
-73.8618426,40.6797488,Mcdonald'S
-73.9819129,40.7715145,Fiorellos
